Date,Close,Open,High,Low,Vol.,Change %
2007-05-10,9669.4,9827.9,9827.9,9668.9,,-1.61%
2007-05-11,9787.0,9669.4,9788.2,9669.4,,1.22%
2007-05-14,9765.4,9787.0,9808.2,9738.6,,-0.22%
2007-05-15,9764.7,9765.4,9844.2,9759.8,,-0.01%
2007-05-16,9825.4,9764.7,9825.6,9756.9,,0.62%
2007-05-17,9819.0,9825.4,9845.3,9778.8,,-0.07%
2007-05-18,9893.7,9819.0,9897.3,9819.0,,0.76%
2007-05-21,9897.5,9894.0,9926.9,9888.7,,0.04%
2007-05-22,9901.0,9897.0,9931.3,9892.0,,0.04%
2007-05-23,9913.7,9901.0,9976.7,9901.0,,0.13%
2007-05-24,9812.5,9913.7,9956.6,9798.2,,-1.02%
